Bolesławiec,0.0012474248
Gromadka,0.0005068065
Osiecznica,0.0006960216
Warta Bolesławiecka,0.0007641096
Dzierżoniów,0.0008622042
Łagiewniki,0.0006966639
Głogów,0.0005710405
Jerzmanowa,0.0003840277
Kotla,0.0003959569
Pęcław,0.0002168357
Żukowice,0.0003320899
Aleksandrów Kujawski,0.001049584
Bądkowo,0.0004131166
Koneck,0.0003077727
Raciążek,0.0002917142
Waganiec,0.0004191729
Zakrzewo,0.0003371369
Bobrowo,0.0005744357
Brodnica,0.0006719797
Brzozie,0.0003430097
Bartniczka,0.000433855
Osiek,0.0003779714
Świedziebnia,0.0004767082
Zbiczno,0.0004300927
Białe Błota,0.0016130999
Dąbrowa Chełmińska,0.0007123554
Dobrcz,0.0009399273
Nowa Wieś Wielka,0.0008451363
Osielsko,0.0010376548
Sicienko,0.0008759686
Skarbimierz,0.0006970309
Lubsza,0.0008256825
Olszanka,0.0004604662
Białogard,0.0007361219
Bierzwnik,0.0004488123
Krzęcin,0.0003559483
Ostrowice,0.0002416117
Wierzchowo,0.0004063261
Osina,0.0002726276
Przybiernów,0.0004836822
Stepnica,0.0004518405
Brojce,0.0003520942
Karnice,0.0003863218
Rewal,0.000343652
Banie,0.0006055433
Stare Czarnowo,0.0003532871
Widuchowa,0.0005148816
Świerzno,0.0003999027
Dygowo,0.0005113946
Kołobrzeg,0.0009190054
Rymań,0.0003798066
Siemyśl,0.0003368616
Ustronie Morskie,0.0003339252
Będzino,0.0007778741
Biesiekierz,0.0005542479
Manowo,0.0006205007
Mielno,0.0004683578
Świeszyno,0.0005882002
Boleszkowice,0.0002680394
Nowogródek Pomorski,0.0003130032
Dobra (Szczecińska),0.0015395978
Kołbaskowo,0.0009918651
Bielice,0.0002884108
Kozielice,0.0002406023
Przelewice,0.0004964373
Warnice,0.0003300711
Darłowo,0.0007274962
Malechowo,0.0006076539
Postomino,0.0006485801
Sławno,0.0008170568
Dolice,0.000748877
Kobylanka,0.000410639
Marianowo,0.00029566
Stara Dąbrowa,0.0003360357
Stargard Szczeciński,0.001122352
Grzmiąca,0.0004674402
Szczecinek,0.0008728487
Brzeżno,0.00026703
Rąbino,0.0003571412
Sławoborze,0.0003925617
Świdwin,0.00056581
Wałcz,0.0011667652
Radowo Małe,0.000343285
Budzyń,0.0007712671
Chodzież,0.0005268108
Czarnków,0.001014347
Drawsko,0.0005519538
Lubasz,0.0006732644
Połajewo,0.0005738851
Gniezno,0.0009023045
Kiszkowo,0.000491115
Łubowo,0.0005461727
Mieleszyn,0.0003726491
Niechanowo,0.0005133216
Pępowo,0.0005521373
Piaski,0.0007801681
Granowo,0.000460558
Kamieniec,0.0005956329
Jaraczewo,0.0007678719
Kotlin,0.0006600505
Blizanów,0.0008833096
Brzeziny,0.0005358953
Ceków-Kolonia,0.0004381678
Godziesze Wielkie,0.0008154968
Koźminek,0.0006905158
Lisków,0.0004966208
Mycielin,0.0004487206
Opatówek,0.0009809453
Szczytniki,0.0007304326
Żelazków,0.0008457786
Baranów,0.0007096942
Bralin,0.0005455304
Łęka Opatowska,0.0004886374
Perzów,0.0003531036
Rychtal,0.0003629222
Trzcinica,0.000443123
Babiak,0.0007374066
Chodów,0.0003112597
Grzegorzew,0.0005210297
Koło,0.0006824406
Kościelec,0.0006062774
Olszówka,0.0004309186
Osiek Mały,0.0005466316
Grodziec,0.0004833152
Kazimierz Biskupi,0.0010159988
Kramsk,0.000971402
Krzymów,0.0006825324
Rzgów,0.0006480296
Skulsk,0.0005742522
Stare Miasto,0.0010312314
Wierzbinek,0.0007023532
Wilczyn,0.0005874661
Kościan,0.0014257201
Rozdrażew,0.0004753318
Krzemieniewo,0.0007727353
Lipno,0.000621143
Święciechowa,0.0006851018
Wijewo,0.0003401651
Włoszakowice,0.0008180662
Chrzypsko Wielkie,0.0003103421
Kwilcz,0.0005745275
Kuślin,0.0005161663
Miedzichowo,0.0003381463
Ryczywół,0.0006762008
Ostrów Wielkopolski,0.0017017429
Przygodzice,0.0010877574
Sieroszewice,0.0008882648
Sośnie,0.0006037081
Czajków,0.0002330778
Doruchów,0.0004797364
Kobyla Góra,0.0005564502
Kraszewice,0.0003350263
Białośliwie,0.0004578051
Kaczory,0.0007134565
Miasteczko Krajeńskie,0.0002996059
Szydłowo,0.0007742035
Chocz,0.0004378925
Czermin,0.0004479865
Dobrzyca,0.0007653025
Gizałki,0.0004286245
Gołuchów,0.0009403861
Czerwonak,0.0023906987
Dopiewo,0.0017050463
Kleszczewo,0.0005716828
Komorniki,0.0018364508
Rokietnica,0.0011696099
Suchy Las,0.0013720388
Tarnowo Podgórne,0.0020029087
Pakosław,0.000435782
Lądek,0.000523232
Orchowo,0.000361454
Ostrowite,0.000469826
Powidz,0.0002002266
Słupca,0.0008574325
Strzałkowo,0.0009258876
Duszniki,0.0007786082
Kaźmierz,0.0007030873
Obrzycko,0.000401738
Dominowo,0.0002690488
Krzykosy,0.0006167384
Nowe Miasto nad Wartą,0.000837887
Zaniemyśl,0.0005991199
Brodnica,0.0004498217
Brudzew,0.0005532385
Kawęczyn,0.0004800117
Malanów,0.0005988447
Przykona,0.0003965075
Turek,0.000779434
Władysławów,0.0007424536
Damasławek,0.000516258
Mieścisko,0.0005548902
Wapno,0.0002859332
Wągrowiec,0.0010770211
Przemęt,0.0012665115
Siedlec,0.0011373093
Kołaczkowo,0.0005609466
Lipka,0.0005194697
Tarnówka,0.0002874931
Zakrzewo,0.000451657
Złotów,0.0008698205
Bartoszyce,0.0010135212
Górowo Iławeckie,0.0006596834
