0,0.0100736
1,0.0107466
2,0.0112550
3,0.0112139
4,0.0104954
5,0.0099665
6,0.0095975
7,0.0092923
8,0.0091286
9,0.0092178
10,0.0095415
11,0.0098052
12,0.0098835
13,0.0101741
14,0.0106004
15,0.0110345
16,0.0113430
17,0.0120706
18,0.0125674
19,0.0130473
20,0.0138303
21,0.0141585
22,0.0142827
23,0.0147284
24,0.0150098
25,0.0156722
26,0.0165873
27,0.0171085
28,0.0176265
29,0.0170731
30,0.0163409
31,0.0166454
32,0.0165314
33,0.0160631
34,0.0159293
35,0.0159775
36,0.0154284
37,0.0148720
38,0.0142865
39,0.0137594
40,0.0132177
41,0.0128202
42,0.0123509
43,0.0121381
44,0.0120261
45,0.0120999
46,0.0122473
47,0.0125240
48,0.0127931
49,0.0129086
50,0.0133912
51,0.0141426
52,0.0150589
53,0.0155505
54,0.0157782
55,0.0155832
56,0.0156913
57,0.0150248
58,0.0148516
59,0.0145304
60,0.0142035
61,0.0134700
62,0.0127926
63,0.0123058
64,0.0113601
65,0.0102131
66,0.0072469
67,0.0070849
68,0.0067822
69,0.0065506
70,0.0068948
71,0.0070771
72,0.0069702
73,0.0068187
74,0.0067065
75,0.0065831
76,0.0062779
77,0.0058907
78,0.0055351
79,0.0054670
80,0.0051998
81,0.0049691
82,0.0043479
83,0.0038676
84,0.0032692
85,0.0029024
86,0.0026443
87,0.0020987
88,0.0018053
89,0.0014428
90,0.0010155
91,0.0007753
92,0.0005470
93,0.0002957
94,0.0002267
95,0.0001792
96,0.0001380
97,0.0001380
98,0.0000834
99,0.0000548
100,0.0000749
